SOURCE_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,OWNER_DESCR,STATE,COUNTY
Six Rivers National Forest,2015,2457235.5,213,212.0,1,Lightning,2457325.5,303.0,1000.0,USFS,CA,023
Plumas National Forest,2015,2457210.5,188,1549.0,1,Lightning,2457212.5,190.0,1512.0,USFS,CA,063
Plumas National Forest,2015,2457185.5,163,1700.0,1,Lightning,2457189.5,167.0,1930.0,USFS,CA,063
San Bernardino National Forest,2015,2457198.5,176,2030.0,9,Miscellaneous,2457201.5,179.0,2000.0,USFS,CA,071
San Bernardino National Forest,2015,2457221.5,199,1213.0,1,Lightning,2457223.5,201.0,2001.0,USFS,CA,071
Sequoia National Forest,2015,2457303.5,281,1848.0,1,Lightning,2457305.5,283.0,1800.0,USFS,CA,029
Sequoia National Forest,2015,2457208.5,186,1200.0,1,Lightning,2457224.5,202.0,1900.0,USFS,CA,107
Sequoia National Forest,2015,2457313.5,291,2100.0,1,Lightning,2457315.5,293.0,1500.0,USFS,CA,107
Sequoia National Forest,2015,2457222.5,200,1300.0,1,Lightning,2457349.5,327.0,1600.0,USFS,CA,107
Sequoia National Forest,2015,2457221.5,199,2200.0,1,Lightning,2457224.5,202.0,1900.0,USFS,CA,107
Sequoia National Forest,2015,2457221.5,199,1800.0,1,Lightning,2457223.5,201.0,1700.0,USFS,CA,107
Sequoia National Forest,2015,2457205.5,183,1040.0,1,Lightning,2457211.5,189.0,1304.0,USFS,CA,019
Sequoia National Forest,2015,2457188.5,166,1800.0,1,Lightning,2457226.5,204.0,1700.0,USFS,CA,107
Shasta-Trinity National Forest,2015,2457208.5,186,1305.0,1,Lightning,2457210.5,188.0,2130.0,USFS,CA,089
Shasta-Trinity National Forest,2015,2457224.5,202,1500.0,1,Lightning,2457226.5,204.0,1000.0,USFS,CA,093
Shasta-Trinity National Forest,2015,2457208.5,186,1600.0,1,Lightning,2457210.5,188.0,945.0,USFS,CA,089
Shasta-Trinity National Forest,2015,2457305.5,283,1600.0,4,Campfire,2457307.5,285.0,1700.0,USFS,CA,093
Shasta-Trinity National Forest,2015,2457212.5,190,1430.0,1,Lightning,2457222.5,200.0,1350.0,PRIVATE,CA,089
Shasta-Trinity National Forest,2015,2457233.5,211,1930.0,1,Lightning,2457264.5,242.0,1700.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457233.5,211,1930.0,1,Lightning,2457236.5,214.0,2300.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457233.5,211,1915.0,1,Lightning,2457239.5,217.0,1700.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457233.5,211,1930.0,1,Lightning,2457247.5,225.0,1800.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457233.5,211,1930.0,1,Lightning,2457239.5,217.0,1700.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457233.5,211,1915.0,1,Lightning,2457241.5,219.0,1700.0,USFS,CA,105
